group1,group2,odds_ratio_group1_vs_group2,p_detection,fdr_detection,detection_rate_group1,detection_rate_group2
Healthy,Stage 0,0.5941558441558441,0.053532765222703955,0.08029914783405594,0.17647058823529413,0.26506024096385544
Healthy,Stage I,0.2964774951076321,6.549621527272142e-11,3.274810763636071e-10,0.17647058823529413,0.41954022988505746
Healthy,Stage II,0.1693121693121693,5.0451432692809614e-20,7.567714903921442e-19,0.17647058823529413,0.5586206896551724
Healthy,Stage III,0.21921182266009853,9.244866274403333e-17,6.9336497058025e-16,0.17647058823529413,0.4943181818181818
Healthy,Stage IV,0.2288961038961039,6.311926693385574e-10,2.3669725100195905e-09,0.17647058823529413,0.4835164835164835
Stage 0,Stage I,0.4989894453177633,0.018841186137827055,0.03140197689637843,0.26506024096385544,0.41954022988505746
Stage 0,Stage II,0.2849625581866019,1.750093586874393e-05,5.250280760623179e-05,0.26506024096385544,0.5586206896551724
Stage 0,Stage III,0.36894667420388166,0.0004661489786980067,0.0011653724467450167,0.26506024096385544,0.4943181818181818
Stage 0,Stage IV,0.38524590163934425,0.004695047065657869,0.010060815140695433,0.26506024096385544,0.4835164835164835
Stage I,Stage II,0.5710793301552377,0.01799727918522623,0.03140197689637843,0.41954022988505746,0.5586206896551724
Stage I,Stage III,0.739387731876636,0.16497080203314857,0.22496018459065714,0.41954022988505746,0.4943181818181818
Stage I,Stage IV,0.7720522052205221,0.36233169858690967,0.38821253420026036,0.41954022988505746,0.4835164835164835
Stage II,Stage III,1.2947198275862069,0.2633275696419363,0.32915946205242036,0.5586206896551724,0.4943181818181818
Stage II,Stage IV,1.3519176136363635,0.2853106519431967,0.3292045983959962,0.5586206896551724,0.4835164835164835
Stage III,Stage IV,1.0441777323799795,0.8977220930862941,0.8977220930862941,0.4943181818181818,0.4835164835164835
