species,importance,rank,method,cv_auc_mean,cv_auc_sd
Dialister pneumosintes,0.005070647753401368,1,Extra Trees,0.7302500809994198,0.05733706763082255
Fusobacterium nucleatum,0.0033465323814258824,2,Extra Trees,0.7302500809994198,0.05733706763082255
Selenomonas sputigena,0.003220257006133035,3,Extra Trees,0.7302500809994198,0.05733706763082255
Parvimonas micra,0.0032190732108930897,4,Extra Trees,0.7302500809994198,0.05733706763082255
Dorea longicatena,0.003158433296676525,5,Extra Trees,0.7302500809994198,0.05733706763082255
Peptostreptococcus stomatis,0.003121824468684159,6,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides timonensis,0.00276828649547426,7,Extra Trees,0.7302500809994198,0.05733706763082255
Prevotella intermedia,0.002665670927835795,8,Extra Trees,0.7302500809994198,0.05733706763082255
Gemella morbillorum,0.0023954890042893855,9,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides uniformis,0.002300761587338371,10,Extra Trees,0.7302500809994198,0.05733706763082255
Phocaeicola massiliensis,0.002158487441268338,11,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides thetaiotaomicron,0.002114564911960002,12,Extra Trees,0.7302500809994198,0.05733706763082255
Blautia glucerasea,0.0020713135107297536,13,Extra Trees,0.7302500809994198,0.05733706763082255
Abiotrophia sp HMSC24B09,0.0020699264971769673,14,Extra Trees,0.7302500809994198,0.05733706763082255
Ruminococcus torques,0.0020348125078428997,15,Extra Trees,0.7302500809994198,0.05733706763082255
Ruminococcus bromii,0.001984234345146281,16,Extra Trees,0.7302500809994198,0.05733706763082255
Holdemania filiformis,0.0019292648512288593,17,Extra Trees,0.7302500809994198,0.05733706763082255
Escherichia coli,0.0019234072509578995,18,Extra Trees,0.7302500809994198,0.05733706763082255
Lachnospiraceae bacterium WCA3 601 WT 6H,0.0019140540781612428,19,Extra Trees,0.7302500809994198,0.05733706763082255
Butyricicoccus sp AM29 23AC,0.0019064696968549605,20,Extra Trees,0.7302500809994198,0.05733706763082255
Peptostreptococcus anaerobius,0.0018956324265055314,21,Extra Trees,0.7302500809994198,0.05733706763082255
Blautia faecis,0.0018779933997245986,22,Extra Trees,0.7302500809994198,0.05733706763082255
Lacrimispora amygdalina,0.0018408170422884941,23,Extra Trees,0.7302500809994198,0.05733706763082255
GGB3293 SGB4348,0.0018178600246065962,24,Extra Trees,0.7302500809994198,0.05733706763082255
Lachnospiraceae unclassified SGB4894,0.0018153619895370401,25,Extra Trees,0.7302500809994198,0.05733706763082255
Clostridiales bacterium KLE1615,0.0018071684431754706,26,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides fragilis,0.0017851266477007105,27,Extra Trees,0.7302500809994198,0.05733706763082255
Faecalicatena contorta,0.0017695180031055417,28,Extra Trees,0.7302500809994198,0.05733706763082255
Weissella confusa,0.0017641551175822106,29,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides xylanisolvens,0.0017561437078212733,30,Extra Trees,0.7302500809994198,0.05733706763082255
GGB9642 SGB15119,0.0017347356687681722,31,Extra Trees,0.7302500809994198,0.05733706763082255
GGB9501 SGB14898,0.0017312948893085582,32,Extra Trees,0.7302500809994198,0.05733706763082255
Tyzzerella nexilis,0.0017183341983254708,33,Extra Trees,0.7302500809994198,0.05733706763082255
Ruminococcus callidus,0.0016881042203772934,34,Extra Trees,0.7302500809994198,0.05733706763082255
Eggerthella lenta,0.0016794411958869244,35,Extra Trees,0.7302500809994198,0.05733706763082255
Gemmiger formicilis,0.0016721923443913326,36,Extra Trees,0.7302500809994198,0.05733706763082255
Clostridia bacterium UC5 1 1D1,0.0016700911910552077,37,Extra Trees,0.7302500809994198,0.05733706763082255
GGB9342 SGB14306,0.0016298366609791858,38,Extra Trees,0.7302500809994198,0.05733706763082255
GGB2983 SGB3965,0.001626624736664035,39,Extra Trees,0.7302500809994198,0.05733706763082255
Clostridia unclassified SGB14844,0.0016155076881601727,40,Extra Trees,0.7302500809994198,0.05733706763082255
GGB6606 SGB9340,0.0016033416060714004,41,Extra Trees,0.7302500809994198,0.05733706763082255
Megamonas funiformis,0.0015942937676636654,42,Extra Trees,0.7302500809994198,0.05733706763082255
Ruminococcaceae bacterium,0.0015936181857130604,43,Extra Trees,0.7302500809994198,0.05733706763082255
Clostridia unclassified SGB4447,0.001591046177252713,44,Extra Trees,0.7302500809994198,0.05733706763082255
Faecalicatena fissicatena,0.0015892369716008655,45,Extra Trees,0.7302500809994198,0.05733706763082255
Streptococcus dysgalactiae,0.0015880113242950622,46,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroidaceae bacterium,0.0015742780974574387,47,Extra Trees,0.7302500809994198,0.05733706763082255
Enterocloster bolteae,0.0015721536804200755,48,Extra Trees,0.7302500809994198,0.05733706763082255
Anaerobutyricum hallii,0.0015525906275774132,49,Extra Trees,0.7302500809994198,0.05733706763082255
Candidatus Cibiobacter qucibialis,0.0015504227972461843,50,Extra Trees,0.7302500809994198,0.05733706763082255
GGB9186 SGB14125,0.001540940040367972,51,Extra Trees,0.7302500809994198,0.05733706763082255
Bifidobacterium pseudocatenulatum,0.0015389075631306501,52,Extra Trees,0.7302500809994198,0.05733706763082255
Roseburia faecis,0.0015351330086428342,53,Extra Trees,0.7302500809994198,0.05733706763082255
Alistipes communis,0.001524802149370093,54,Extra Trees,0.7302500809994198,0.05733706763082255
Sellimonas intestinalis,0.0015210462848682937,55,Extra Trees,0.7302500809994198,0.05733706763082255
Schaalia turicensis,0.0015149752011864085,56,Extra Trees,0.7302500809994198,0.05733706763082255
Sutterella wadsworthensis,0.0015135911436809423,57,Extra Trees,0.7302500809994198,0.05733706763082255
GGB3005 SGB3996,0.0015017700026924354,58,Extra Trees,0.7302500809994198,0.05733706763082255
Anaerotignum faecicola,0.0015013294879663592,59,Extra Trees,0.7302500809994198,0.05733706763082255
Phocaeicola dorei,0.0014984771988351931,60,Extra Trees,0.7302500809994198,0.05733706763082255
GGB9615 SGB15053,0.0014966276744711776,61,Extra Trees,0.7302500809994198,0.05733706763082255
Prevotella copri clade A,0.0014937011934776424,62,Extra Trees,0.7302500809994198,0.05733706763082255
GGB3746 SGB5089,0.0014915623926915482,63,Extra Trees,0.7302500809994198,0.05733706763082255
Ruminococcaceae unclassified SGB4425,0.0014812178245727614,64,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides stercoris,0.0014792236140511949,65,Extra Trees,0.7302500809994198,0.05733706763082255
