species,mean_early_raw_abundance,mean_advanced_raw_abundance,direction,mannwhitney_u,p_value,fdr,minus_log10_fdr,rank
Dialister pneumosintes,0.008727665369649805,0.04642764563106797,advanced_high,38339.5,1.010799769265467e-12,1.5626964432844119e-09,8.806125376305893,1
Fusobacterium nucleatum,0.01877684824902724,0.07117135922330098,advanced_high,39022.0,1.8455496220061143e-09,1.4266098578107263e-06,5.845694779349395,2
Peptostreptococcus stomatis,0.013645369649805448,0.07272191747572816,advanced_high,41259.0,6.983407461856384e-08,3.598782645343323e-05,4.443844382515901,3
Intestinimonas massiliensis,0.005674785992217898,0.025879830097087376,advanced_high,42027.0,2.848520963407814e-07,0.000110095335235712,3.9582310817939845,4
Parvimonas micra,0.022817821011673158,0.1654419660194175,advanced_high,41496.0,5.2192453181693e-07,0.00016137906523779475,3.7921528044429236,5
Porphyromonas asaccharolytica,0.0018618677042801558,0.028853567961165054,advanced_high,46624.0,1.0029536692680518e-06,0.0002584277287814013,3.587660889242497,6
Ruminococcaceae bacterium,0.3517349027237354,0.6672137135922331,advanced_high,41265.0,1.4070856025878209e-06,0.00031076490594296734,3.5075680311061976,7
Bacteroides fragilis,1.366761673151751,1.4943298058252426,advanced_high,41479.5,1.973480786266639e-06,0.00038137516194602797,3.418647594931965,8
Bacteroides salyersiae,0.09585976653696497,0.1729026213592233,advanced_high,44031.0,6.6676339384369805e-06,0.0011453513409803969,2.941061271364644,9
Prevotella intermedia,0.04827599221789883,0.21166660194174755,advanced_high,45689.0,8.211758823650416e-06,0.0012695379141363543,2.8963543246017367,10
Gemella morbillorum,0.008467976653696498,0.03671070388349514,advanced_high,43305.0,1.5582259530181597e-05,0.0021900157485146136,2.6595527621149486,11
Christensenella minuta,0.0024177431906614788,0.004845922330097088,advanced_high,44739.0,2.1561619251166095e-05,0.0027778552801918984,2.556290383742841,12
Alistipes indistinctus,0.025766342412451362,0.0547033495145631,advanced_high,43619.5,4.3210597620862744e-05,0.005138737224757986,2.289143589895176,13
Ruminococcaceae unclassified SGB15260,0.060945486381322966,0.16792259708737864,advanced_high,44406.5,5.4140735580826176e-05,0.005978684086282662,2.2233943940976535,14
Lentisphaeria bacterium,0.01638715953307393,0.035574417475728155,advanced_high,45340.0,6.634913950921189e-05,0.006813992960370661,2.1665983194434797,15
Victivallis vadensis,0.0008132684824902724,0.005289878640776699,advanced_high,47024.0,7.051997889128757e-05,0.006813992960370661,2.1665983194434797,16
Gemella haemolysans,0.002581245136186771,0.0013014320388349517,early_high,59374.5,9.009642919910732e-05,0.008193475267165877,2.0865318529129575,17
Clostridiales bacterium KLE1615,0.056727392996108954,0.09798516990291262,advanced_high,43843.5,0.0001579728778590687,0.013568114953895568,1.8674804855744611,18
Faecalicatena contorta,0.0037261867704280155,0.0063891019417475735,advanced_high,43965.0,0.00016777497412854807,0.013651584736986069,1.8648169308518232,19
Firmicutes bacterium,0.006849455252918288,0.011152281553398058,advanced_high,45564.0,0.00021133103048094683,0.01600335669219039,1.795788914844103,20
Porphyromonas SGB1980,0.1444152140077821,0.09683485436893205,early_high,47460.0,0.0002173806536455357,0.01600335669219039,1.795788914844103,21
Peptostreptococcus anaerobius,0.005531050583657587,0.020262864077669904,advanced_high,47983.0,0.00023308955621759202,0.016379838814199875,1.7856903762293233,22
GGB9694 SGB15201,0.023879455252918288,0.12410140776699029,advanced_high,46185.5,0.0002478848457898955,0.016662172677877323,1.7782683690462289,23
Streptococcus sp 263 SSPC,0.013331089494163425,0.00816133495145631,early_high,61465.5,0.00026135821509021414,0.016835825022061292,1.7737655966058954,24
Veillonella dispar,0.17393801556420235,0.051967742718446605,early_high,61059.0,0.00033539915306660936,0.02074108362563912,1.683168557477275,25
GGB9342 SGB14306,0.17323517509727626,0.570369781553398,advanced_high,45429.5,0.00038666054721065346,0.022296568710330793,1.651761966764768,26
Lachnospiraceae unclassified SGB4894,0.030921439688715954,0.047848009708737864,advanced_high,45924.0,0.00038939673685571243,0.022296568710330793,1.651761966764768,27
GGB9712 SGB15244,0.03612050583657587,0.10377856796116505,advanced_high,46223.5,0.00046764652450395085,0.0251674744318688,1.5991603639246383,28
Agathobaculum butyriciproducens,0.18918155642023346,0.13340631067961164,early_high,61403.5,0.000491226090461923,0.0251674744318688,1.5991603639246383,29
Hungatella hathewayi,0.054543968871595336,0.14051080097087376,advanced_high,44527.5,0.0004948380225987753,0.0251674744318688,1.5991603639246383,30
Butyricimonas faecalis,0.01340264591439689,0.02374449029126214,advanced_high,48286.0,0.0005104059415575867,0.0251674744318688,1.5991603639246383,31
Megasphaera micronuciformis,0.041650194552529184,0.04158233009708738,early_high,59554.5,0.0005209309067398458,0.0251674744318688,1.5991603639246383,32
Streptococcus parasanguinis,0.23936949416342415,0.13458417475728154,early_high,61268.0,0.0005918153339498456,0.027725651705650344,1.5571182367444891,33
Eubacterium siraeum,0.33859626459143966,0.37893240291262137,advanced_high,45148.5,0.0006338509603107135,0.028821576018834203,1.5402822748208136,34
Clostridium symbiosum,0.051853190661478595,0.08367373786407767,advanced_high,44908.5,0.0007557562415935226,0.0333828328429596,1.4764768121785425,35
Streptococcus sp A12,0.03526404669260701,0.017835873786407767,early_high,60839.5,0.0007862217907973446,0.033763858015908185,1.4715479346977365,36
Ruminococcaceae unclassified SGB15257,0.001839377431906615,0.008557014563106796,advanced_high,47466.0,0.0008575979763591395,0.03529223539355433,1.452320832761049,37
GGB9537 SGB14940,0.0016487159533073931,0.0021247815533980583,advanced_high,47525.5,0.0008674676228687353,0.03529223539355433,1.452320832761049,38
Blautia faecis,0.17984875486381321,0.22503808252427182,advanced_high,44927.5,0.0009676809066743781,0.037879272842546455,1.4215983666144003,39
Intestinimonas gabonensis,0.001281089494163424,0.001735242718446602,advanced_high,46171.5,0.0009800588057579938,0.037879272842546455,1.4215983666144003,40
Lachnospiraceae unclassified SGB4882,0.018670661478599217,0.07040864077669903,advanced_high,47830.0,0.0010312394130076803,0.03888527152463107,1.4102148641452135,41
GGB33516 SGB54347,0.0006201945525291829,0.0014488349514563106,advanced_high,47976.5,0.0012579669655545752,0.046305164970175554,1.334370564210106,42
Prevotella stercorea,0.7217945525291828,0.8717857281553397,advanced_high,47504.5,0.0015166214924365816,0.05452783319318501,1.2633817598033685,43
Streptococcus mitis,0.04537902723735408,0.022060145631067958,early_high,60452.0,0.0015750913440421412,0.05534298222475341,1.2569374420715065,44
Alistipes communis,0.0626182879377432,0.11129223300970872,advanced_high,45705.5,0.0017893367025891929,0.0614736564933976,1.2113109539902982,45
Clostridia unclassified SGB4367,0.292166653696498,0.4348604126213592,advanced_high,46381.5,0.0019634441984337243,0.06538076220557963,1.1845500207432946,46
Clostridia bacterium,1.6007958365758754,2.220583883495146,advanced_high,45435.0,0.0020153527609476584,0.06538076220557963,1.1845500207432946,47
Neisseria subflava,0.003634785992217899,0.0015025970873786408,early_high,56877.0,0.0020299331085820325,0.06538076220557963,1.1845500207432946,48
GGB3293 SGB4348,0.7824423735408561,1.3437353398058254,advanced_high,45824.5,0.002116852511710122,0.06678885679803773,1.175295990141389,49
Coprococcus eutactus,0.3379106614785992,0.33891953883495146,advanced_high,46340.5,0.0022465863123405003,0.06894067743818316,1.161524453358891,50
Ruminococcus bicirculans,0.4873389494163424,0.5801328155339807,advanced_high,45907.5,0.0022742396826308806,0.06894067743818316,1.161524453358891,51
Ruminococcus bromii,0.9870724902723735,1.1949125485436891,advanced_high,45702.0,0.002522788516246104,0.07381421125065406,1.1318600165837964,52
GGB9237 SGB14179,0.004989416342412452,0.010270412621359224,advanced_high,47048.0,0.002530500126962914,0.07381421125065406,1.1318600165837964,53
Ruminococcaceae unclassified SGB15234,0.12139354085603114,0.21765910194174753,advanced_high,46810.0,0.0029086397395917574,0.08190532335974697,1.0866878707593424,54
GGB1266 SGB1699,0.08674482490272376,0.2378327427184466,advanced_high,48117.0,0.002913837506329938,0.08190532335974697,1.0866878707593424,55
Mogibacterium diversum,0.02278089494163424,0.011424393203883495,early_high,59865.5,0.0035624369624590252,0.09834870614217238,1.0072313492068825,56
Methanobrevibacter smithii,0.17687350194552529,0.2041191262135922,advanced_high,47024.0,0.003668429652182566,0.09949810951358329,1.0021851708685328,57
Bacilli bacterium,0.10515821011673153,0.15529174757281552,advanced_high,47531.5,0.0037704645371730836,0.10050238231844116,0.997823643561994,58
Lawsonibacter sp NSJ 51,0.006008560311284047,0.01685004854368932,advanced_high,47518.0,0.004049306539669975,0.10514283610033404,0.9782203125932907,59
Eisenbergiella massiliensis,0.018829999999999996,0.027000606796116506,advanced_high,47027.0,0.004080575786558889,0.10514283610033404,0.9782203125932907,60
GGB9710 SGB15239,0.005629610894941634,0.07712344660194174,advanced_high,50188.5,0.004258469193421158,0.10710421687682713,0.9701934299124544,61
Roseburia faecis,0.6118096887159533,0.643266067961165,advanced_high,46115.0,0.004316717118072169,0.10710421687682713,0.9701934299124544,62
Clostridia unclassified SGB4121,0.07600400778210117,0.06516303398058253,early_high,59810.0,0.004364531476869411,0.10710421687682713,0.9701934299124544,63
Catabacter hongkongensis,0.0028261867704280153,0.003116480582524272,advanced_high,47207.5,0.004631478418030658,0.11050590782211808,0.9566145032823945,64
Lachnospira sp NSJ 43,0.09275575875486379,0.1278132281553398,advanced_high,47184.5,0.004646108672986853,0.11050590782211808,0.9566145032823945,65
Alistipes senegalensis,0.013101750972762645,0.02352368932038835,advanced_high,47152.5,0.004881892930924802,0.11435464350317794,0.9417461956670957,66
Clostridium sp AF36 4,0.07624015564202336,0.1111548300970874,advanced_high,46820.0,0.004971915895097335,0.11472510408687284,0.940341539609908,67
Acidaminococcaceae unclassified SGB5785,0.04499229571984435,0.06789417475728156,advanced_high,49392.0,0.00507245971667653,0.11532386355855757,0.9380808163874109,68
Bacilli unclassified SGB6428,9.17898832684825e-05,0.0152975,advanced_high,50714.0,0.005302376951197421,0.11760847012009175,0.9295613993997558,69
Haemophilus parainfluenzae,0.27552828793774314,0.11810648058252426,early_high,59635.0,0.005325092437520325,0.11760847012009175,0.9295613993997558,70
Dialister hominis,0.12123700389105059,0.1710462621359223,advanced_high,48912.5,0.005643314135239897,0.12151796231910672,0.9153595215760427,71
Abiotrophia sp HMSC24B09,0.0008928793774319065,0.000229247572815534,early_high,56251.5,0.005659310017448696,0.12151796231910672,0.9153595215760427,72
GGB9633 SGB15090,0.08356607003891052,0.19275759708737866,advanced_high,48236.5,0.005773979273731123,0.12228180763271666,0.9126381499335865,73
Christensenellaceae bacterium,0.01849249027237354,0.020923932038834952,advanced_high,46502.5,0.00587744354449514,0.12279091513229037,0.9108337639266804,74
Oribacterium parvum,0.0010857198443579767,0.00042936893203883496,early_high,56577.0,0.006046680824138699,0.12464224738824571,0.904334728962954,75
