species,importance,rank,method,cv_auc_mean,cv_auc_sd
Dialister pneumosintes,0.009391549587703283,1,Random Forest,0.7415403585426574,0.05890198952181386
Parvimonas micra,0.006496935355219191,2,Random Forest,0.7415403585426574,0.05890198952181386
Fusobacterium nucleatum,0.006285487412419827,3,Random Forest,0.7415403585426574,0.05890198952181386
Peptostreptococcus stomatis,0.005591459919870529,4,Random Forest,0.7415403585426574,0.05890198952181386
Gemella morbillorum,0.004430999456853299,5,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides uniformis,0.004415326892671602,6,Random Forest,0.7415403585426574,0.05890198952181386
Selenomonas sputigena,0.004314764832043306,7,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides thetaiotaomicron,0.003948291600508537,8,Random Forest,0.7415403585426574,0.05890198952181386
Dorea longicatena,0.0037110623605100977,9,Random Forest,0.7415403585426574,0.05890198952181386
Odoribacter laneus,0.003660955374867354,10,Random Forest,0.7415403585426574,0.05890198952181386
GGB9501 SGB14898,0.003536246730154601,11,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides stercoris,0.003395269302522117,12,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides xylanisolvens,0.003248156166288294,13,Random Forest,0.7415403585426574,0.05890198952181386
Escherichia coli,0.0031122140553037332,14,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcus torques,0.0030746372683808964,15,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides fragilis,0.0029833317418462594,16,Random Forest,0.7415403585426574,0.05890198952181386
Blautia faecis,0.0028549311775916296,17,Random Forest,0.7415403585426574,0.05890198952181386
Faecalicatena contorta,0.002827762180333197,18,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiales bacterium KLE1615,0.0028274785559814697,19,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcaceae bacterium,0.0028258006008775724,20,Random Forest,0.7415403585426574,0.05890198952181386
GGB3463 SGB4621,0.0027739475083293726,21,Random Forest,0.7415403585426574,0.05890198952181386
Lachnospiraceae bacterium WCA3 601 WT 6H,0.002746646345492999,22,Random Forest,0.7415403585426574,0.05890198952181386
Eggerthella lenta,0.0027365438932017996,23,Random Forest,0.7415403585426574,0.05890198952181386
Lachnospiraceae bacterium,0.002687694261281843,24,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp OM07 10AC,0.0026843363250071244,25,Random Forest,0.7415403585426574,0.05890198952181386
Prevotella intermedia,0.002666751226878625,26,Random Forest,0.7415403585426574,0.05890198952181386
Enterocloster bolteae,0.0026546516118765525,27,Random Forest,0.7415403585426574,0.05890198952181386
Eubacteriaceae bacterium CHKCI004,0.002640200298511646,28,Random Forest,0.7415403585426574,0.05890198952181386
Dorea formicigenerans,0.002621024722444311,29,Random Forest,0.7415403585426574,0.05890198952181386
Clostridia bacterium UC5 1 1D1,0.0025934537222606817,30,Random Forest,0.7415403585426574,0.05890198952181386
Phocaeicola vulgatus,0.002575066483359133,31,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcus bromii,0.0025678139740535565,32,Random Forest,0.7415403585426574,0.05890198952181386
Lacrimispora amygdalina,0.002563325868031454,33,Random Forest,0.7415403585426574,0.05890198952181386
Gemmiger formicilis,0.00256300185241682,34,Random Forest,0.7415403585426574,0.05890198952181386
Brachyspira aalborgi,0.0024830857007658432,35,Random Forest,0.7415403585426574,0.05890198952181386
Blautia obeum,0.0024302378796876604,36,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Cibiobacter qucibialis,0.002403658813882592,37,Random Forest,0.7415403585426574,0.05890198952181386
Anaerobutyricum hallii,0.00235237267992549,38,Random Forest,0.7415403585426574,0.05890198952181386
Faecalibacterium prausnitzii,0.00234668375864141,39,Random Forest,0.7415403585426574,0.05890198952181386
Phocaeicola dorei,0.002313702801723644,40,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus anginosus,0.002290080877744148,41,Random Forest,0.7415403585426574,0.05890198952181386
Paraeggerthella hongkongensis,0.002289535138336578,42,Random Forest,0.7415403585426574,0.05890198952181386
Faecalibacillus intestinalis,0.0022876680006281578,43,Random Forest,0.7415403585426574,0.05890198952181386
Alistipes putredinis,0.002285531012655627,44,Random Forest,0.7415403585426574,0.05890198952181386
Clostridia bacterium,0.002267536184505015,45,Random Forest,0.7415403585426574,0.05890198952181386
Blautia wexlerae,0.0022568541775957887,46,Random Forest,0.7415403585426574,0.05890198952181386
Roseburia faecis,0.002232397236119028,47,Random Forest,0.7415403585426574,0.05890198952181386
Bifidobacterium longum,0.002206901467890875,48,Random Forest,0.7415403585426574,0.05890198952181386
Phascolarctobacterium faecium,0.0022007551223548073,49,Random Forest,0.7415403585426574,0.05890198952181386
Anaeromassilibacillus sp An250,0.0022005803517127992,50,Random Forest,0.7415403585426574,0.05890198952181386
Phocaeicola massiliensis,0.0021710328178291215,51,Random Forest,0.7415403585426574,0.05890198952181386
Parabacteroides distasonis,0.0021642635936386634,52,Random Forest,0.7415403585426574,0.05890198952181386
Firmicutes bacterium AF16 15,0.002160355796456401,53,Random Forest,0.7415403585426574,0.05890198952181386
Fusicatenibacter saccharivorans,0.002148315484031022,54,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium symbiosum,0.0021380420996088946,55,Random Forest,0.7415403585426574,0.05890198952181386
Blautia glucerasea,0.002129161814097738,56,Random Forest,0.7415403585426574,0.05890198952181386
Anaerostipes hadrus,0.0021216400044874054,57,Random Forest,0.7415403585426574,0.05890198952181386
Blautia massiliensis,0.0021177276999392682,58,Random Forest,0.7415403585426574,0.05890198952181386
Flavonifractor plautii,0.0021101842593518865,59,Random Forest,0.7415403585426574,0.05890198952181386
Holdemania filiformis,0.0021078322601112837,60,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides ovatus,0.002102492911616463,61,Random Forest,0.7415403585426574,0.05890198952181386
GGB9581 SGB14999,0.002097555699202733,62,Random Forest,0.7415403585426574,0.05890198952181386
Enterobacter hormaechei,0.002080204922522741,63,Random Forest,0.7415403585426574,0.05890198952181386
Ruthenibacterium lactatiformans,0.0020798920732478738,64,Random Forest,0.7415403585426574,0.05890198952181386
Lachnospira eligens,0.0020441745225313447,65,Random Forest,0.7415403585426574,0.05890198952181386
Actinomyces SGB17168,0.002039410722513629,66,Random Forest,0.7415403585426574,0.05890198952181386
Solobacterium SGB6833,0.0020390936378774293,67,Random Forest,0.7415403585426574,0.05890198952181386
GGB3293 SGB4348,0.0020368146767166537,68,Random Forest,0.7415403585426574,0.05890198952181386
Clostridia unclassified SGB4121,0.0020337247779404362,69,Random Forest,0.7415403585426574,0.05890198952181386
Eubacterium ventriosum,0.0020285039016620984,70,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides timonensis,0.002022047955032592,71,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroidaceae bacterium,0.0020206728356222596,72,Random Forest,0.7415403585426574,0.05890198952181386
Prevotella copri clade A,0.0020194045418422658,73,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp AF34 10BH,0.0020154849347896746,74,Random Forest,0.7415403585426574,0.05890198952181386
Veillonella parvula,0.002012652553361626,75,Random Forest,0.7415403585426574,0.05890198952181386
Odoribacter splanchnicus,0.0020114575095839483,76,Random Forest,0.7415403585426574,0.05890198952181386
Dysosmobacter welbionis,0.002004283897982781,77,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides caccae,0.0019964562223812234,78,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp Marseille P3244,0.0019951390721785938,79,Random Forest,0.7415403585426574,0.05890198952181386
Eubacterium ramulus,0.001986291120447363,80,Random Forest,0.7415403585426574,0.05890198952181386
Lancefieldella parvula,0.001982517979392697,81,Random Forest,0.7415403585426574,0.05890198952181386
Roseburia inulinivorans,0.0019811150714685306,82,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiales bacterium,0.001967717430586135,83,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiaceae bacterium,0.0019569293520782195,84,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Avimonas narfia,0.001944907159432767,85,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus sp A12,0.0019417141557993855,86,Random Forest,0.7415403585426574,0.05890198952181386
Dorea sp AF36 15AT,0.0019349215035102969,87,Random Forest,0.7415403585426574,0.05890198952181386
Merdimonas faecis,0.0019347661184744539,88,Random Forest,0.7415403585426574,0.05890198952181386
Alistipes onderdonkii,0.001930452426989901,89,Random Forest,0.7415403585426574,0.05890198952181386
Bilophila wadsworthia,0.0019301158930203274,90,Random Forest,0.7415403585426574,0.05890198952181386
Collinsella aerofaciens,0.0019298522841851022,91,Random Forest,0.7415403585426574,0.05890198952181386
GGB2983 SGB3965,0.001928284470707469,92,Random Forest,0.7415403585426574,0.05890198952181386
Enterocloster aldensis,0.0019263142669999575,93,Random Forest,0.7415403585426574,0.05890198952181386
Eubacterium rectale,0.001925578850860391,94,Random Forest,0.7415403585426574,0.05890198952181386
Phocaeicola plebeius,0.0019235894322256193,95,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus salivarius,0.001907514620830399,96,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Saccharibacteria unclassified SGB19850,0.001899679255793962,97,Random Forest,0.7415403585426574,0.05890198952181386
Pseudoflavonifractor SGB15156,0.0018984266762290182,98,Random Forest,0.7415403585426574,0.05890198952181386
Alistipes communis,0.0018867763411397835,99,Random Forest,0.7415403585426574,0.05890198952181386
Enterocloster citroniae,0.0018780293159930054,100,Random Forest,0.7415403585426574,0.05890198952181386
GGB9615 SGB15053,0.0018735207648858088,101,Random Forest,0.7415403585426574,0.05890198952181386
Haemophilus parainfluenzae,0.0018723124478386862,102,Random Forest,0.7415403585426574,0.05890198952181386
Alistipes shahii,0.001853522969502273,103,Random Forest,0.7415403585426574,0.05890198952181386
Anaerotignum faecicola,0.0018437992777184868,104,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus parasanguinis,0.0018380882419445298,105,Random Forest,0.7415403585426574,0.05890198952181386
Parabacteroides merdae,0.0018346857810054636,106,Random Forest,0.7415403585426574,0.05890198952181386
Hungatella hathewayi,0.0018226685509250954,107,Random Forest,0.7415403585426574,0.05890198952181386
Sutterella wadsworthensis,0.0018070803346444443,108,Random Forest,0.7415403585426574,0.05890198952181386
Clostridia unclassified SGB14844,0.0018020621192733235,109,Random Forest,0.7415403585426574,0.05890198952181386
Tyzzerella nexilis,0.001800283188812766,110,Random Forest,0.7415403585426574,0.05890198952181386
Christensenellaceae bacterium,0.0017960659843575834,111,Random Forest,0.7415403585426574,0.05890198952181386
Faecalicatena fissicatena,0.001789691215097001,112,Random Forest,0.7415403585426574,0.05890198952181386
Dysosmobacter sp NSJ 60,0.0017820170598631252,113,Random Forest,0.7415403585426574,0.05890198952181386
Evtepia gabavorous,0.0017735887033663467,114,Random Forest,0.7415403585426574,0.05890198952181386
Roseburia hominis,0.0017512308256315535,115,Random Forest,0.7415403585426574,0.05890198952181386
Agathobaculum butyriciproducens,0.0017506272821408407,116,Random Forest,0.7415403585426574,0.05890198952181386
Lachnospiraceae unclassified SGB4894,0.0017464061438934142,117,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Pararuminococcus gallinarum,0.001733941807739134,118,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp AM22 11AC,0.0017326626982907098,119,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium leptum,0.001729111863039592,120,Random Forest,0.7415403585426574,0.05890198952181386
GGB9631 SGB15087,0.0017128515338557721,121,Random Forest,0.7415403585426574,0.05890198952181386
Intestinimonas massiliensis,0.0017060745268501383,122,Random Forest,0.7415403585426574,0.05890198952181386
GGB4266 SGB5809,0.0016991497823428553,123,Random Forest,0.7415403585426574,0.05890198952181386
Campylobacter showae,0.0016970572270663825,124,Random Forest,0.7415403585426574,0.05890198952181386
Prevotella copri clade C,0.001692807889149825,125,Random Forest,0.7415403585426574,0.05890198952181386
Bifidobacterium adolescentis,0.0016861416504632492,126,Random Forest,0.7415403585426574,0.05890198952181386
Clostridia unclassified SGB4447,0.0016791741090332163,127,Random Forest,0.7415403585426574,0.05890198952181386
Peptostreptococcus anaerobius,0.0016769704322180056,128,Random Forest,0.7415403585426574,0.05890198952181386
Romboutsia timonensis,0.001676663218912437,129,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium phoceensis,0.001675687180339519,130,Random Forest,0.7415403585426574,0.05890198952181386
Alistipes indistinctus,0.0016724271622533312,131,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcus gnavus,0.001671023148852005,132,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Alloscillospira gallinarum,0.0016638884273807706,133,Random Forest,0.7415403585426574,0.05890198952181386
GGB9699 SGB15216,0.001657852503542711,134,Random Forest,0.7415403585426574,0.05890198952181386
GGB9694 SGB15204,0.0016524087741316934,135,Random Forest,0.7415403585426574,0.05890198952181386
GGB3256 SGB4303,0.0016498087229906238,136,Random Forest,0.7415403585426574,0.05890198952181386
GGB3005 SGB3996,0.0016446062034862993,137,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus mitis,0.001642760094293263,138,Random Forest,0.7415403585426574,0.05890198952181386
GGB9342 SGB14306,0.001640984785609242,139,Random Forest,0.7415403585426574,0.05890198952181386
Prevotella pectinovora,0.0016380304508094821,140,Random Forest,0.7415403585426574,0.05890198952181386
Prevotellamassilia timonensis,0.0016357998751980827,141,Random Forest,0.7415403585426574,0.05890198952181386
GGB3746 SGB5089,0.0016353218746022777,142,Random Forest,0.7415403585426574,0.05890198952181386
Granulicatella adiacens,0.0016346878965712963,143,Random Forest,0.7415403585426574,0.05890198952181386
Peptostreptococcus SGB749,0.0016292417205557672,144,Random Forest,0.7415403585426574,0.05890198952181386
