group1,group2,mannwhitney_u,p_abundance,fdr_abundance,mean_abundance_group1,mean_abundance_group2
Healthy,Stage 0,26635.5,0.026126489432780745,0.03918973414917112,0.0015069887955182072,0.003388915662650602
Healthy,Stage I,45196.5,2.1634311834005978e-14,8.112866937752242e-14,0.0015069887955182072,0.010890747126436782
Healthy,Stage II,29115.5,1.4933556297045794e-28,2.2400334445568693e-27,0.0015069887955182072,0.02817186206896552
Healthy,Stage III,40247.0,5.012101287598012e-23,3.759075965698509e-22,0.0015069887955182072,0.04141693181818182
Healthy,Stage IV,21061.5,1.796438439690378e-14,8.112866937752242e-14,0.0015069887955182072,0.041214395604395604
Stage 0,Stage I,5950.5,0.00847517765565301,0.014125296092755016,0.003388915662650602,0.010890747126436782
Stage 0,Stage II,3919.5,1.675517786000768e-06,5.026553358002305e-06,0.003388915662650602,0.02817186206896552
Stage 0,Stage III,5362.0,0.00012077062698303795,0.00030192656745759485,0.003388915662650602,0.04141693181818182
Stage 0,Stage IV,2783.5,0.0006073024453463026,0.0013013623828849342,0.003388915662650602,0.041214395604395604
Stage I,Stage II,10285.0,0.002216481862805444,0.0041559034927602075,0.010890747126436782,0.02817186206896552
Stage I,Stage III,13773.5,0.07622364717757435,0.10394133706032867,0.010890747126436782,0.04141693181818182
Stage I,Stage IV,7181.5,0.17218342858107905,0.2138545728350217,0.010890747126436782,0.041214395604395604
Stage II,Stage III,13795.5,0.18534062979035215,0.2138545728350217,0.02817186206896552,0.04141693181818182
Stage II,Stage IV,7150.0,0.25330010382363477,0.2713929683824658,0.02817186206896552,0.041214395604395604
Stage III,Stage IV,8052.5,0.9370542945470475,0.9370542945470475,0.04141693181818182,0.041214395604395604
