gene,model,variable,chisq,p_value,note
SERPINE1,model_stage,expression_group_median,0.384411749429285,0.535251548739976,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage,stage_group,2.63362830112175,0.451624548192942,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage,GLOBAL,6.25793335680626,0.180695948699903,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage_binary,expression_group_median,0.27963367913905,0.596941416930656,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage_binary,stage_binary,1.07370869633236,0.300109239223794,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage_binary,GLOBAL,3.24834078462822,0.197075102424251,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage_binary_sex,expression_group_median,0.273576093837336,0.600942923810842,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage_binary_sex,stage_binary,1.0738319155999,0.300081508146919,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage_binary_sex,sex,0.0827554848830661,0.77359741893355,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SERPINE1,model_stage_binary_sex,GLOBAL,3.33864528955219,0.342300056738675,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage,expression_group_median,1.08398777643225,0.297807172981376,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage,stage_group,3.31607800406398,0.345411147647308,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage,GLOBAL,4.08280535803987,0.394915341469681,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage_binary,expression_group_median,1.26758084764081,0.26022100226669,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage_binary,stage_binary,2.06893436647726,0.150326526175968,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage_binary,GLOBAL,2.91718955286089,0.232562848017216,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage_binary_sex,expression_group_median,1.28671834682486,0.25665359943089,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage_binary_sex,stage_binary,2.09393171642476,0.147885047856109,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage_binary_sex,sex,0.101102125760607,0.750511027443545,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
PLAUR,model_stage_binary_sex,GLOBAL,3.02967560382522,0.387072373902749,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage,expression_group_median,0.100773314979967,0.750903592080307,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage,stage_group,3.33776828948868,0.342420500390763,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage,GLOBAL,3.46209221226404,0.483665667166701,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage_binary,expression_group_median,0.0099313944220572,0.920617130412733,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage_binary,stage_binary,1.94728022792445,0.162880233781594,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage_binary,GLOBAL,2.17603929666678,0.336882980321507,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage_binary_sex,expression_group_median,0.0113132875087288,0.915293603282841,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage_binary_sex,stage_binary,1.96116417142709,0.161388867145825,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage_binary_sex,sex,0.102334227197037,0.749046250286536,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
SDC4,model_stage_binary_sex,GLOBAL,2.24998991963586,0.522169147914922,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage,expression_group_median,1.62979423452413,0.201731511168557,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage,stage_group,2.35562647243776,0.501948184848489,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage,GLOBAL,5.60231853087642,0.230880925502464,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage_binary,expression_group_median,1.32534325326391,0.249635350499684,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage_binary,stage_binary,1.14237929139207,0.285150132113076,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage_binary,GLOBAL,3.54254429716247,0.170116437727129,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage_binary_sex,expression_group_median,1.34390370035118,0.24634671430629,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage_binary_sex,stage_binary,1.15049680097451,0.283445175936551,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage_binary_sex,sex,0.129043091565063,0.719426264648409,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
CCN1,model_stage_binary_sex,GLOBAL,3.64232541679793,0.30276668598985,cox.zph test; p < 0.05 suggests possible non-proportional hazards.
