gene,model,variable,level_or_comparison,n,events,HR,lower_95CI,upper_95CI,p_value,fdr_within_model_for_gene_term,note
SERPINE1,model_stage,gene_group_median,SERPINE1-high vs SERPINE1-low,269,25,1.94624613443077,0.721696810864169,5.24856693110654,0.188308193600501,0.376616387201002,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage,stage_group,Stage II vs Stage I,269,25,1.28776623782632,0.250987952206785,6.60725691693394,0.761792393375388,,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage,stage_group,Stage III vs Stage I,269,25,1.67504306917737,0.315876930857406,8.88247608327473,0.544486378023818,,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage,stage_group,Stage IV vs Stage I,269,25,4.51990137887324,0.901304619151643,22.6665968870431,0.0667054872620453,,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage_binary,gene_group_median,SERPINE1-high vs SERPINE1-low,269,25,2.21854447939534,0.848603020315104,5.80004959825375,0.104129228244959,0.208258456489918,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage_binary,stage_binary,Advanced tumor vs Early tumor,269,25,2.27087647339629,0.940745711275955,5.48169382609289,0.0681351405559804,,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage_binary_sex,gene_group_median,SERPINE1-high vs SERPINE1-low,269,25,2.21854892589929,0.849334960967769,5.79507445566658,0.103818589381986,0.207637178763972,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage_binary_sex,stage_binary,Advanced tumor vs Early tumor,269,25,2.26608571320088,0.939325849738376,5.46684035258201,0.0686589195069637,,"Cox proportional hazards model; association analysis, not causation."
SERPINE1,model_stage_binary_sex,sex,Male vs reference sex,269,25,0.902925563149653,0.411375864846828,1.98182402580345,0.799039304169035,,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage,gene_group_median,PLAUR-high vs PLAUR-low,269,25,0.841279859297487,0.382373040971318,1.85094587176372,0.667495078848185,0.673969264697366,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage,stage_group,Stage II vs Stage I,269,25,1.59865231265258,0.321453916894481,7.95040620888863,0.566471200589214,,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage,stage_group,Stage III vs Stage I,269,25,2.30658661291208,0.462192398704244,11.5110975813986,0.308205747623743,,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage,stage_group,Stage IV vs Stage I,269,25,6.78039712925639,1.49519670239484,30.7476502300953,0.0130839422763435,,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage_binary,gene_group_median,PLAUR-high vs PLAUR-low,269,25,0.845841956651556,0.384749537299225,1.85951780645214,0.676998785102057,0.743104554082079,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage_binary,stage_binary,Advanced tumor vs Early tumor,269,25,2.91521700709632,1.25183328544827,6.78883546016306,0.013111193342782,,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage_binary_sex,gene_group_median,PLAUR-high vs PLAUR-low,269,25,0.845693332229186,0.384723135850909,1.85899194909365,0.676637475120604,0.757682686911782,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage_binary_sex,stage_binary,Advanced tumor vs Early tumor,269,25,2.90504996733068,1.24671390674563,6.76924775365474,0.0134785463880903,,"Cox proportional hazards model; association analysis, not causation."
PLAUR,model_stage_binary_sex,sex,Male vs reference sex,269,25,0.907097261317437,0.413136190082834,1.99165665279679,0.808010641025911,,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage,gene_group_median,SDC4-high vs SDC4-low,269,25,1.19909684938777,0.514627040599104,2.79393257792635,0.673969264697366,0.673969264697366,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage,stage_group,Stage II vs Stage I,269,25,1.62672579738169,0.325790450910937,8.12251191668755,0.553150915859758,,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage,stage_group,Stage III vs Stage I,269,25,2.20534019454598,0.438515375295491,11.0908890489936,0.337221221166648,,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage,stage_group,Stage IV vs Stage I,269,25,6.50214012978954,1.42493135287125,29.6700793215262,0.0156409367896732,,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage_binary,gene_group_median,SDC4-high vs SDC4-low,269,25,1.14923348552762,0.500216119688504,2.64033395221331,0.743104554082079,0.743104554082079,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage_binary,stage_binary,Advanced tumor vs Early tumor,269,25,2.78791664303548,1.16249791354469,6.68601562028992,0.021599178151141,,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage_binary_sex,gene_group_median,SDC4-high vs SDC4-low,269,25,1.14031113362138,0.495189980406759,2.62588003172596,0.757682686911782,0.757682686911782,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage_binary_sex,stage_binary,Advanced tumor vs Early tumor,269,25,2.78536620817357,1.16225355247896,6.67519139613532,0.0216105401798344,,"Cox proportional hazards model; association analysis, not causation."
SDC4,model_stage_binary_sex,sex,Male vs reference sex,269,25,0.916992312496531,0.41643989677786,2.01919870714568,0.829637665493707,,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage,gene_group_median,CCN1-high vs CCN1-low,269,25,2.49721085147905,0.972991725548517,6.40916245534277,0.0570366119946513,0.228146447978605,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage,stage_group,Stage II vs Stage I,269,25,1.21957757589778,0.240448564266326,6.1858113737176,0.810635400123413,,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage,stage_group,Stage III vs Stage I,269,25,1.73543901255306,0.340869584366915,8.83548636903102,0.506776789112355,,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage,stage_group,Stage IV vs Stage I,269,25,4.88163070447209,1.04422682481705,22.8210172047819,0.0439084438305,,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage_binary,gene_group_median,CCN1-high vs CCN1-low,269,25,2.63275298912615,1.04011655951867,6.66404956090719,0.0410550478792401,0.16422019151696,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage_binary,stage_binary,Advanced tumor vs Early tumor,269,25,2.56281606264833,1.0966852836901,5.98897994588597,0.0297748692791185,,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage_binary_sex,gene_group_median,CCN1-high vs CCN1-low,269,25,2.65131819942617,1.04711987424825,6.7131647173205,0.0396763210731888,0.158705284292755,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage_binary_sex,stage_binary,Advanced tumor vs Early tumor,269,25,2.56204170718527,1.0972011658827,5.98254715130202,0.0296786025222613,,"Cox proportional hazards model; association analysis, not causation."
CCN1,model_stage_binary_sex,sex,Male vs reference sex,269,25,0.867266412060739,0.394120430171155,1.90842943402368,0.723414429313889,,"Cox proportional hazards model; association analysis, not causation."
