species,importance,rank,method,cv_auc_mean,cv_auc_sd
Dialister pneumosintes,0.005070647753401368,1,Extra Trees,0.7302500809994198,0.05733706763082255
Fusobacterium nucleatum,0.0033465323814258824,2,Extra Trees,0.7302500809994198,0.05733706763082255
Selenomonas sputigena,0.003220257006133035,3,Extra Trees,0.7302500809994198,0.05733706763082255
Parvimonas micra,0.0032190732108930897,4,Extra Trees,0.7302500809994198,0.05733706763082255
Dorea longicatena,0.003158433296676525,5,Extra Trees,0.7302500809994198,0.05733706763082255
Peptostreptococcus stomatis,0.003121824468684159,6,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides timonensis,0.00276828649547426,7,Extra Trees,0.7302500809994198,0.05733706763082255
Prevotella intermedia,0.002665670927835795,8,Extra Trees,0.7302500809994198,0.05733706763082255
Gemella morbillorum,0.0023954890042893855,9,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides uniformis,0.002300761587338371,10,Extra Trees,0.7302500809994198,0.05733706763082255
Phocaeicola massiliensis,0.002158487441268338,11,Extra Trees,0.7302500809994198,0.05733706763082255
Bacteroides thetaiotaomicron,0.002114564911960002,12,Extra Trees,0.7302500809994198,0.05733706763082255
Blautia glucerasea,0.0020713135107297536,13,Extra Trees,0.7302500809994198,0.05733706763082255
Abiotrophia sp HMSC24B09,0.0020699264971769673,14,Extra Trees,0.7302500809994198,0.05733706763082255
Ruminococcus torques,0.0020348125078428997,15,Extra Trees,0.7302500809994198,0.05733706763082255
Ruminococcus bromii,0.001984234345146281,16,Extra Trees,0.7302500809994198,0.05733706763082255
Holdemania filiformis,0.0019292648512288593,17,Extra Trees,0.7302500809994198,0.05733706763082255
Escherichia coli,0.0019234072509578995,18,Extra Trees,0.7302500809994198,0.05733706763082255
Lachnospiraceae bacterium WCA3 601 WT 6H,0.0019140540781612428,19,Extra Trees,0.7302500809994198,0.05733706763082255
Butyricicoccus sp AM29 23AC,0.0019064696968549605,20,Extra Trees,0.7302500809994198,0.05733706763082255
