species,mean_early_raw_abundance,mean_advanced_raw_abundance,direction,mannwhitney_u,p_value,fdr,minus_log10_fdr,rank
Dialister pneumosintes,0.008727665369649805,0.04642764563106797,advanced_high,38339.5,1.010799769265467e-12,1.5626964432844119e-09,8.806125376305893,1
Fusobacterium nucleatum,0.01877684824902724,0.07117135922330098,advanced_high,39022.0,1.8455496220061143e-09,1.4266098578107263e-06,5.845694779349395,2
Peptostreptococcus stomatis,0.013645369649805448,0.07272191747572816,advanced_high,41259.0,6.983407461856384e-08,3.598782645343323e-05,4.443844382515901,3
Intestinimonas massiliensis,0.005674785992217898,0.025879830097087376,advanced_high,42027.0,2.848520963407814e-07,0.000110095335235712,3.9582310817939845,4
Parvimonas micra,0.022817821011673158,0.1654419660194175,advanced_high,41496.0,5.2192453181693e-07,0.00016137906523779475,3.7921528044429236,5
Porphyromonas asaccharolytica,0.0018618677042801558,0.028853567961165054,advanced_high,46624.0,1.0029536692680518e-06,0.0002584277287814013,3.587660889242497,6
Ruminococcaceae bacterium,0.3517349027237354,0.6672137135922331,advanced_high,41265.0,1.4070856025878209e-06,0.00031076490594296734,3.5075680311061976,7
Bacteroides fragilis,1.366761673151751,1.4943298058252426,advanced_high,41479.5,1.973480786266639e-06,0.00038137516194602797,3.418647594931965,8
Bacteroides salyersiae,0.09585976653696497,0.1729026213592233,advanced_high,44031.0,6.6676339384369805e-06,0.0011453513409803969,2.941061271364644,9
Prevotella intermedia,0.04827599221789883,0.21166660194174755,advanced_high,45689.0,8.211758823650416e-06,0.0012695379141363543,2.8963543246017367,10
Gemella morbillorum,0.008467976653696498,0.03671070388349514,advanced_high,43305.0,1.5582259530181597e-05,0.0021900157485146136,2.6595527621149486,11
Christensenella minuta,0.0024177431906614788,0.004845922330097088,advanced_high,44739.0,2.1561619251166095e-05,0.0027778552801918984,2.556290383742841,12
Alistipes indistinctus,0.025766342412451362,0.0547033495145631,advanced_high,43619.5,4.3210597620862744e-05,0.005138737224757986,2.289143589895176,13
Ruminococcaceae unclassified SGB15260,0.060945486381322966,0.16792259708737864,advanced_high,44406.5,5.4140735580826176e-05,0.005978684086282662,2.2233943940976535,14
Lentisphaeria bacterium,0.01638715953307393,0.035574417475728155,advanced_high,45340.0,6.634913950921189e-05,0.006813992960370661,2.1665983194434797,15
Victivallis vadensis,0.0008132684824902724,0.005289878640776699,advanced_high,47024.0,7.051997889128757e-05,0.006813992960370661,2.1665983194434797,16
Gemella haemolysans,0.002581245136186771,0.0013014320388349517,early_high,59374.5,9.009642919910732e-05,0.008193475267165877,2.0865318529129575,17
Clostridiales bacterium KLE1615,0.056727392996108954,0.09798516990291262,advanced_high,43843.5,0.0001579728778590687,0.013568114953895568,1.8674804855744611,18
Faecalicatena contorta,0.0037261867704280155,0.0063891019417475735,advanced_high,43965.0,0.00016777497412854807,0.013651584736986069,1.8648169308518232,19
Firmicutes bacterium,0.006849455252918288,0.011152281553398058,advanced_high,45564.0,0.00021133103048094683,0.01600335669219039,1.795788914844103,20
