species,importance,rank,method,cv_auc_mean,cv_auc_sd
Dialister pneumosintes,0.009391549587703283,1,Random Forest,0.7415403585426574,0.05890198952181386
Parvimonas micra,0.006496935355219191,2,Random Forest,0.7415403585426574,0.05890198952181386
Fusobacterium nucleatum,0.006285487412419827,3,Random Forest,0.7415403585426574,0.05890198952181386
Peptostreptococcus stomatis,0.005591459919870529,4,Random Forest,0.7415403585426574,0.05890198952181386
Gemella morbillorum,0.004430999456853299,5,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides uniformis,0.004415326892671602,6,Random Forest,0.7415403585426574,0.05890198952181386
Selenomonas sputigena,0.004314764832043306,7,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides thetaiotaomicron,0.003948291600508537,8,Random Forest,0.7415403585426574,0.05890198952181386
Dorea longicatena,0.0037110623605100977,9,Random Forest,0.7415403585426574,0.05890198952181386
Odoribacter laneus,0.003660955374867354,10,Random Forest,0.7415403585426574,0.05890198952181386
GGB9501 SGB14898,0.003536246730154601,11,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides stercoris,0.003395269302522117,12,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides xylanisolvens,0.003248156166288294,13,Random Forest,0.7415403585426574,0.05890198952181386
Escherichia coli,0.0031122140553037332,14,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcus torques,0.0030746372683808964,15,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides fragilis,0.0029833317418462594,16,Random Forest,0.7415403585426574,0.05890198952181386
Blautia faecis,0.0028549311775916296,17,Random Forest,0.7415403585426574,0.05890198952181386
Faecalicatena contorta,0.002827762180333197,18,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiales bacterium KLE1615,0.0028274785559814697,19,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcaceae bacterium,0.0028258006008775724,20,Random Forest,0.7415403585426574,0.05890198952181386
